1st Node,2nd Node,Common Friends,Total Friends,Jaccard coefficient,Internal Aggregation,Preferential attachment score,Resource Allocation,Hitting time,Sorensen Index,Hub Index,Salton Index,Overlap Coefficient,Neighborhood overlap,HubD Index,CosineL+,Local Path Index,Local Random Walk,Labels,DegreeofNodes,Subgraphdensity-1,Subgraphdensity-2,Closeness Centrality,PageRank,Clustering Coeffiecient,Weighted Average of DofN,Weisfeiler-Lehman (WL) kernel,EigenVector Centrality,Betweeness Centrality,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25_0,F26_1,F27_2,F28_3,F29_4,F30_5,F31_6,F32_7,F33_8,F34_9,F35_10,F36_11,DegreeofNodes.1,Subgraphdensity-1.1,Subgraphdensity-2.1,Closeness Centrality.1,PageRank.1,Clustering Coeffiecient.1,Weighted Average of DofN.1,Weisfeiler-Lehman (WL) kernel.1,EigenVector Centrality.1,Betweeness Centrality.1,F0.1,F1.1,F2.1,F3.1,F4.1,F5.1,F6.1,F7.1,F8.1,F9.1,F10.1,F11.1,F12.1,F13.1,F14.1,F15.1,F16.1,F17.1,F18.1,F19.1,F20.1,F21.1,F22.1,F23.1,F24.1,F25_0.1,F26_1.1,F27_2.1,F28_3.1,F29_4.1,F30_5.1,F31_6.1,F32_7.1,F33_8.1,F34_9.1,F35_10.1,F36_11.1
BrighamYoung,FloridaState,39,80,0.4875,1.3333333333333333,144,0.2666666666666666,65,0.0833333333333333,0.0833333333333333,3.25,0.0833333333333333,9.083333333333334,0.0833333333333333,1.0000000000000002,0.0434782608695652,0.2708921270675184,1,12,0.3714285714285714,0.2649572649572649,0.4237918215613382,0.009647679839969,0.3484848484848485,10.75,62,0.1065032293978512,0.0324899491838948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,0,2,0,0,0,0,0,0,0,0,0,1,3,6,12,0.3170731707317073,0.2701421800947867,0.4130434782608695,0.009697381378563,0.4393939393939394,10.666666666666666,57,0.0963854291176984,0.0176211126800952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1,0,0,0,0,0,0,0,0,0,0,5,6
BrighamYoung,Iowa,19,95,0.2,0.0,144,0.0,144,0.0,0.0,1.5833333333333333,0.0,10.0,0.0,0.1081662191353948,0.0,0.2091650066335188,0,12,0.3714285714285714,0.2649572649572649,0.4237918215613382,0.009647679839969,0.3484848484848485,10.75,62,0.1065032293978512,0.0324899491838948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,0,2,0,0,0,0,0,0,0,0,0,1,3,6,12,0.3513513513513513,0.2857142857142857,0.4071428571428571,0.0095891036071546,0.3787878787878788,11.166666666666666,52,0.1162618994561207,0.013122497053431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,8
FloridaState,Iowa,14,95,0.1473684210526315,0.0,144,0.0,158,0.0,0.0,1.1666666666666667,0.0,10.0,0.0,0.0186236127322824,0.0,0.2635432231870227,0,12,0.3170731707317073,0.2701421800947867,0.4130434782608695,0.009697381378563,0.4393939393939394,10.666666666666666,57,0.0963854291176984,0.0176211126800952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1,0,0,0,0,0,0,0,0,0,0,5,6,12,0.3513513513513513,0.2857142857142857,0.4071428571428571,0.0095891036071546,0.3787878787878788,11.166666666666666,52,0.1162618994561207,0.013122497053431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,8
BrighamYoung,KansasState,24,98,0.2448979591836734,0.0,144,0.0,72,0.0,0.0,2.0,0.0,10.0,0.0,-0.1882254561989093,0.0,0.1673116139981324,0,12,0.3714285714285714,0.2649572649572649,0.4237918215613382,0.009647679839969,0.3484848484848485,10.75,62,0.1065032293978512,0.0324899491838948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,0,2,0,0,0,0,0,0,0,0,0,1,3,6,12,0.3823529411764705,0.2752293577981651,0.4206642066420664,0.0096691117779319,0.3333333333333333,10.75,60,0.1062495448644558,0.0230700988568456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,5,5
FloridaState,KansasState,22,95,0.231578947368421,0.0,144,0.0,26,0.0,0.0,1.8333333333333333,0.0,10.0,0.0,0.1081662191353948,0.0,0.2723072429589437,0,12,0.3170731707317073,0.2701421800947867,0.4130434782608695,0.009697381378563,0.4393939393939394,10.666666666666666,57,0.0963854291176984,0.0176211126800952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1,0,0,0,0,0,0,0,0,0,0,5,6,12,0.3823529411764705,0.2752293577981651,0.4206642066420664,0.0096691117779319,0.3333333333333333,10.75,60,0.1062495448644558,0.0230700988568456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,5,5
Iowa,KansasState,37,75,0.4933333333333333,9.0,144,0.3484848484848484,8,0.1666666666666666,0.1666666666666666,3.083333333333333,0.1666666666666666,8.166666666666666,0.1666666666666666,0.0522961082549885,0.0909090909090909,0.2724020898427995,1,12,0.3513513513513513,0.2857142857142857,0.4071428571428571,0.0095891036071546,0.3787878787878788,11.166666666666666,52,0.1162618994561207,0.013122497053431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,8,12,0.3823529411764705,0.2752293577981651,0.4206642066420664,0.0096691117779319,0.3333333333333333,10.75,60,0.1062495448644558,0.0230700988568456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,5,5
BrighamYoung,NewMexico,38,78,0.4871794871794871,47.25,132,0.7303030303030302,13,0.5217391304347826,0.5454545454545454,3.307475463158259,0.5454545454545454,3.5,0.5454545454545454,-0.0668251015925384,0.3529411764705882,0.3593757690721877,1,12,0.3714285714285714,0.2649572649572649,0.4237918215613382,0.009647679839969,0.3484848484848485,10.75,62,0.1065032293978512,0.0324899491838948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,0,2,0,0,0,0,0,0,0,0,0,1,3,6,11,0.3529411764705882,0.2583732057416268,0.4028268551236749,0.0089042366184822,0.4181818181818181,10.818181818181818,54,0.1011902270150916,0.010663869449409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,1,3,4
FloridaState,NewMexico,21,90,0.2333333333333333,0.0,132,0.0833333333333333,26,0.0869565217391304,0.0909090909090909,1.8278153875348275,0.0909090909090909,8.083333333333334,0.0909090909090909,0.9999999999999998,0.0454545454545454,0.3167762968124702,0,12,0.3170731707317073,0.2701421800947867,0.4130434782608695,0.009697381378563,0.4393939393939394,10.666666666666666,57,0.0963854291176984,0.0176211126800952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1,0,0,0,0,0,0,0,0,0,0,5,6,11,0.3529411764705882,0.2583732057416268,0.4028268551236749,0.0089042366184822,0.4181818181818181,10.818181818181818,54,0.1011902270150916,0.010663869449409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,1,3,4
Iowa,NewMexico,21,85,0.2470588235294117,0.0,132,0.0,62,0.0,0.0,1.8278153875348275,0.0,9.0,0.0,0.0832848899344748,0.0,0.3231828652987107,0,12,0.3513513513513513,0.2857142857142857,0.4071428571428571,0.0095891036071546,0.3787878787878788,11.166666666666666,52,0.1162618994561207,0.013122497053431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,8,11,0.3529411764705882,0.2583732057416268,0.4028268551236749,0.0089042366184822,0.4181818181818181,10.818181818181818,54,0.1011902270150916,0.010663869449409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,1,3,4
KansasState,NewMexico,31,83,0.3734939759036144,0.0,132,0.0833333333333333,60,0.0869565217391304,0.0909090909090909,2.6982036673133165,0.0909090909090909,8.083333333333334,0.0909090909090909,-0.1835004393156885,0.0454545454545454,0.1447300768338894,0,12,0.3823529411764705,0.2752293577981651,0.4206642066420664,0.0096691117779319,0.3333333333333333,10.75,60,0.1062495448644558,0.0230700988568456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,5,5,11,0.3529411764705882,0.2583732057416268,0.4028268551236749,0.0089042366184822,0.4181818181818181,10.818181818181818,54,0.1011902270150916,0.010663869449409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,1,3,4
BrighamYoung,TexasTech,22,86,0.2558139534883721,0.0,144,0.202020202020202,13,0.1666666666666666,0.1666666666666666,1.8333333333333333,0.1666666666666666,8.166666666666666,0.1666666666666666,0.518702733815447,0.0909090909090909,0.1483773024199086,0,12,0.3714285714285714,0.2649572649572649,0.4237918215613382,0.009647679839969,0.3484848484848485,10.75,62,0.1065032293978512,0.0324899491838948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,0,2,0,0,0,0,0,0,0,0,0,1,3,6,12,0.3611111111111111,0.2754491017964072,0.3838383838383838,0.009710319906739,0.3636363636363636,10.333333333333334,46,0.1022724654014604,0.0106609820826135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,0,1,0,0,0,0,0,0,0,0,1,1,4,5
